OS01G0104100,OS01G0124401,OS01G0159800,OS01G0205700,OS01G0307500,OS01G0343300,OS01G0506100,OS01G0534900,OS01G0571300,OS01G0575200,OS01G0612600,OS01G0664100,OS01G0699100,OS01G0733200,Label
0,0,0,4,0,6.0128,0,2.3219,0,3.1699,6.4878,4.2854,0,0,0
0,0,0,4.7004,0,5.9158,2.8074,3.8074,0,2,5.9741,4.4919,2,2,0
0,0,0,1.585,0,6.3808,3.4594,4,3.4594,0,5.935,4,1.585,0,0
0,0,0,2.8074,0,6.1803,2.8074,3.3219,2.8074,2,7.0901,4.9773,4.5546,0,0
0,0,0,4.3219,0,6.2477,0,3.1699,0,0,6.3445,4.7549,4.5546,0,0
0,0,0,4.2479,0,5.7698,0,3.858,0,3.3219,6.8579,3.858,4.7549,3.3219,0
0,0,0,2,2,5.0224,2,0,0,0,6.4893,3.9069,2,0,0
0,0,3.9069,3.3219,0,6.114,2.585,2.585,0,2.585,6.1659,5.2479,0,0,0
0,0,0,4.4594,2.585,5.3923,3.4594,3.4594,0,0,6.1266,4,3.4594,0,0
0,0,0,0,3.4594,4.0875,2.8074,2.8074,0,0,5.7758,2.8074,2.8074,2.8074,0
0,0,0,2.8074,3.7004,6.5075,3.7004,3.7004,0,0,6.1424,4.585,0,0,0
0,0,0,4.4594,0,6.0391,0,0,0,0,6.1735,5.0444,4.4594,0,0
0,0,0,3.8074,0,5.2854,2.585,2.585,0,0,5.93,4.3219,0,0,0
0,0,3.1699,3.1699,0,4.9069,0,3.1699,0,0,5.7605,5.5567,3.1699,0,0
0,0,0,0,0,5.6026,3.4594,0,0,3.4594,5.9241,0,3.4594,3.4594,0
0,0,0,0,4,5.3107,0,0,0,4,5,4,4,0,0
1,0,2.585,2.585,0,6.4707,2.585,1,0,2,7.228,4.3923,4.9227,0,0
1.585,0,0,3.3219,0,6.2219,0,1.585,0,1.585,6.8646,5.5644,4.2479,0,0
0,0,2.585,3.9542,2,7.4163,0,2.585,2,0,6.7687,3.7004,2.585,0,0
0,0,0,3.8074,0,6.5264,0,1.585,0,3.1699,6.4997,3.1699,3.1699,0,0
0,0,2.585,4.4263,0,6.1717,0,2.585,0,3.7004,6.4978,3.7004,3.7004,0,0
